Title,Rating,Service,Watched,Released
Gosford Park,3.0,,2012,2001
Grace and Frankie,1.0,,2017,
Graduation,1.0,,2018,2017
Gran Torino,2.0,,2009,2008
Great British Baking Show seasons 1-13,3.5,Netflix,2024,
Green Zone,3.0,,2010,2009
Greenland,2.0,,2023,1900
Greyhound,4.0,Apple,2021,2021
Gringo,3.0,,2018,2018
Grizzly Man,2.0,,2006,2005
Gunnin' for That #1 Spot,2.0,,2011,2008
Hacks,2.0,HBO,2022,2022
Hacksaw Ridge,3.0,,2017,2016
Half Nelson,3.0,,2007,2006
Hanna,3.0,,2013,2011
Happy Face S1,3.0,Paramount,2025,2025
Happy People: Year in the Taiga,3.0,,2025,2013
Hard Sun,3.0,Hulu,2025,
Harmonium,2.0,,2018,2017
Haywire,4.0,,2012,2011
Head-On,3.0,,2009,2004
Headhunters,3.0,,2012,2011
Heads of State,2.0,Prime,2025,
Heart of Champions,3.2,,2025,2021
Heart of Stone,1.0,,2023,
Heat,4.0,,2004,1995
Hecho en M_xico,2.0,,2015,2012
Hector and the Search for Happiness,3.0,,2016,2014
Heist,3.0,,2012,2001
Hell and Back Again,3.0,,2012,2011
Hello My Twenties,2.0,Netflix,2022,2016
Helvetica,1.0,,2018,2007
Henry's Crime,3.0,,2012,2010
Her,1.0,,2015,2013
Here,2.0,,2025,2024
Hereafter,3.0,,2011,2010
Heretic,3.0,,2025,2024
Hesher,1.0,,2011,2010
High Flying Bird,3.0,Netflix,2022,2019
Higher Ground,1.0,,2012,2011
Hightown,1.0,,2025,2020
Hightown,1.0,,2025,2024
Highway 61,1.0,,2011,1991
Hijack,3.0,Apple,2023,2023
History of the Eagles,4.0,,,2013
History Of The Eagles: Disc 1,4.0,,2015,
History Of The Eagles: Disc 2,4.0,,2015,
Hitch,3.0,,2005,2005
Hitchcock,3.0,,2014,2012
Hobbs & Shaw,1.0,,2022,2022
Homeland,3.0,,2013,
Honk for Jesus,1.0,peacock,2022,2022
Hope Springs,4.0,,2013,2012
Hostage,1.0,Netflix,2025,2025
Hostage,3.0,Net,2025,2025
Hostiles,3.0,,2018,2017
Hotel Artemis,3.0,,2018,2018
Hotel Rwanda,4.0,,2005,2004
House of Dynamite,3.5,,2025,2025
House of Sand and Fog,4.0,,2004,2003
How Art Made the World: Disc 1,2.0,,2009,
How Art Made the World:: Disc 2,2.0,,2009,
How I Became a Superhero,3.0,,2022,
How I Ended This Summer,3.0,,2011,2010
Howards End,4.0,,2004,1992
Human Playground,3.0,Apple,2022,2022
Humboldt County,3.0,,2009,2008
Hunger,1.0,,2017,2008
Hunt for the Wilderpeople,3.0,,2017,2016
Hustle & Flow,4.0,,2006,2005
I Am Ali,4.0,,2015,2014
I Am David,2.0,,2007,2003
I Am Legend,4.0,,2008,2007
I Am Mother,3.0,,2019,
I Am NotYour Negro,3.0,,2017,2017
I Am Sam,4.0,,2013,2001
I Came By,3.0,Netflix,2022,2022
I Can Only Imagine,3.0,,2018,2018
I Daniel Blake,3.0,,2018,2016
I Know This Much is True,4.0,,2021,2020
"I Love You, Man",1.0,,2010,2009
I Saw the Light,1.0,,2016,2015
I Smile Back,2.0,,2016,2015
I Think We're Alone Now,3.0,hulu & Prime,2022,2018
I Used to Be Famous,3.0,Netflix,2022,2015
I'll Be Right There,3.0,Netflix,2025,2023
I’ll Follow You Down,3.0,TUBI,2022,2013
I'll Sleep When I'm Dead,4.0,,2005,2003
I'm Not There,2.0,,2008,2007
I've LovedYou So Long,4.0,,2009,2008
Ida,2.0,,2015,2014
Identity,4.0,,2006,2003
If a Tree Falls: A Story of the Earth Liberation Front,3.0,,2012,2011
Il Postino,4.0,,2004,1995
